Filename,STFT_Time_s,Mel_Filterbank_Time_s,Log_Scaling_Time_s,DCT_Time_s,Total_MFCC_Time_s
..\dataset\raw_audio\Actor_02\03-01-08-02-02-01-02.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_02\03-01-08-02-02-02-02.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_03\03-01-01-01-01-01-03.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_03\03-01-01-01-01-02-03.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_03\03-01-01-01-02-01-03.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-01-01-02-02-03.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_03\03-01-02-01-01-01-03.wav,0.0036,0.0000,0.0020,0.0000,0.0056
..\dataset\raw_audio\Actor_03\03-01-02-01-01-02-03.wav,0.0035,0.0010,0.0010,0.0000,0.0055
..\dataset\raw_audio\Actor_03\03-01-02-01-02-01-03.wav,0.0036,0.0010,0.0010,0.0000,0.0056
..\dataset\raw_audio\Actor_03\03-01-02-01-02-02-03.wav,0.0038,0.0010,0.0010,0.0000,0.0058
..\dataset\raw_audio\Actor_03\03-01-02-02-01-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-02-02-01-02-03.wav,0.0050,0.0000,0.0010,0.0010,0.0070
..\dataset\raw_audio\Actor_03\03-01-02-02-02-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-02-02-02-02-03.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_03\03-01-03-01-01-01-03.wav,0.0048,0.0000,0.0013,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-03-01-01-02-03.wav,0.0030,0.0010,0.0000,0.0000,0.0040
..\dataset\raw_audio\Actor_03\03-01-03-01-02-01-03.wav,0.0031,0.0010,0.0000,0.0000,0.0041
..\dataset\raw_audio\Actor_03\03-01-03-01-02-02-03.wav,0.0039,0.0010,0.0000,0.0000,0.0049
..\dataset\raw_audio\Actor_03\03-01-03-02-01-01-03.wav,0.0040,0.0000,0.0020,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-03-02-01-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-03-02-02-01-03.wav,0.0050,0.0000,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-03-02-02-02-03.wav,0.0046,0.0000,0.0010,0.0000,0.0056
..\dataset\raw_audio\Actor_03\03-01-04-01-01-01-03.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_03\03-01-04-01-01-02-03.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_03\03-01-04-01-02-01-03.wav,0.0041,0.0000,0.0028,0.0000,0.0068
..\dataset\raw_audio\Actor_03\03-01-04-01-02-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-04-02-01-01-03.wav,0.0041,0.0010,0.0010,0.0000,0.0061
..\dataset\raw_audio\Actor_03\03-01-04-02-01-02-03.wav,0.0041,0.0010,0.0010,0.0000,0.0061
..\dataset\raw_audio\Actor_03\03-01-04-02-02-01-03.wav,0.0036,0.0000,0.0010,0.0000,0.0046
..\dataset\raw_audio\Actor_03\03-01-04-02-02-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-05-01-01-01-03.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_03\03-01-05-01-01-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-05-01-02-01-03.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-05-01-02-02-03.wav,0.0044,0.0010,0.0010,0.0000,0.0064
..\dataset\raw_audio\Actor_03\03-01-05-02-01-01-03.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-05-02-01-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-05-02-02-01-03.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_03\03-01-05-02-02-02-03.wav,0.0035,0.0000,0.0015,0.0010,0.0060
..\dataset\raw_audio\Actor_03\03-01-06-01-01-01-03.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-06-01-01-02-03.wav,0.0030,0.0010,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-06-01-02-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-06-01-02-02-03.wav,0.0035,0.0010,0.0000,0.0010,0.0055
..\dataset\raw_audio\Actor_03\03-01-06-02-01-01-03.wav,0.0050,0.0010,0.0000,0.0010,0.0070
..\dataset\raw_audio\Actor_03\03-01-06-02-01-02-03.wav,0.0053,0.0000,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_03\03-01-06-02-02-01-03.wav,0.0042,0.0010,0.0000,0.0000,0.0052
..\dataset\raw_audio\Actor_03\03-01-06-02-02-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-07-01-01-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-07-01-01-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-07-01-02-01-03.wav,0.0041,0.0000,0.0010,0.0000,0.0051
..\dataset\raw_audio\Actor_03\03-01-07-01-02-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-07-02-01-01-03.wav,0.0043,0.0010,0.0010,0.0000,0.0063
..\dataset\raw_audio\Actor_03\03-01-07-02-01-02-03.wav,0.0042,0.0010,0.0000,0.0010,0.0062
..\dataset\raw_audio\Actor_03\03-01-07-02-02-01-03.wav,0.0044,0.0010,0.0010,0.0000,0.0064
..\dataset\raw_audio\Actor_03\03-01-07-02-02-02-03.wav,0.0040,0.0000,0.0020,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-08-01-01-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-08-01-01-02-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-08-01-02-01-03.wav,0.0042,0.0000,0.0000,0.0010,0.0052
..\dataset\raw_audio\Actor_03\03-01-08-01-02-02-03.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_03\03-01-08-02-01-01-03.wav,0.0030,0.0000,0.0010,0.0000,0.0040
..\dataset\raw_audio\Actor_03\03-01-08-02-01-02-03.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_03\03-01-08-02-02-01-03.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_03\03-01-08-02-02-02-03.wav,0.0033,0.0000,0.0010,0.0000,0.0043
..\dataset\raw_audio\Actor_04\03-01-01-01-01-01-04.wav,0.0040,0.0000,0.0000,0.0010,0.0050
..\dataset\raw_audio\Actor_04\03-01-01-01-01-02-04.wav,0.0038,0.0010,0.0000,0.0000,0.0048
..\dataset\raw_audio\Actor_04\03-01-01-01-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-01-01-02-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-02-01-01-01-04.wav,0.0043,0.0000,0.0010,0.0000,0.0053
..\dataset\raw_audio\Actor_04\03-01-02-01-01-02-04.wav,0.0042,0.0000,0.0010,0.0000,0.0052
..\dataset\raw_audio\Actor_04\03-01-02-01-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-02-01-02-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
