Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_03\03-01-05-02-01-01-03.wav,0.0470
../dataset/raw_audio\Actor_03\03-01-05-02-01-02-03.wav,0.0461
../dataset/raw_audio\Actor_03\03-01-05-02-02-01-03.wav,0.0284
../dataset/raw_audio\Actor_03\03-01-05-02-02-02-03.wav,0.0250
../dataset/raw_audio\Actor_03\03-01-06-01-01-01-03.wav,0.0250
../dataset/raw_audio\Actor_03\03-01-06-01-01-02-03.wav,0.0200
../dataset/raw_audio\Actor_03\03-01-06-01-02-01-03.wav,0.0333
../dataset/raw_audio\Actor_03\03-01-06-01-02-02-03.wav,0.0230
../dataset/raw_audio\Actor_03\03-01-06-02-01-01-03.wav,0.0204
../dataset/raw_audio\Actor_03\03-01-06-02-01-02-03.wav,0.0220
../dataset/raw_audio\Actor_03\03-01-06-02-02-01-03.wav,0.0336
../dataset/raw_audio\Actor_03\03-01-06-02-02-02-03.wav,0.0343
../dataset/raw_audio\Actor_03\03-01-07-01-01-01-03.wav,0.0397
../dataset/raw_audio\Actor_03\03-01-07-01-01-02-03.wav,0.0232
../dataset/raw_audio\Actor_03\03-01-07-01-02-01-03.wav,0.0210
../dataset/raw_audio\Actor_03\03-01-07-01-02-02-03.wav,0.0220
../dataset/raw_audio\Actor_03\03-01-07-02-01-01-03.wav,0.0328
../dataset/raw_audio\Actor_03\03-01-07-02-01-02-03.wav,0.0290
../dataset/raw_audio\Actor_03\03-01-07-02-02-01-03.wav,0.0349
../dataset/raw_audio\Actor_03\03-01-07-02-02-02-03.wav,0.0460
../dataset/raw_audio\Actor_03\03-01-08-01-01-01-03.wav,0.0196
../dataset/raw_audio\Actor_03\03-01-08-01-01-02-03.wav,0.0190
../dataset/raw_audio\Actor_03\03-01-08-01-02-01-03.wav,0.0200
../dataset/raw_audio\Actor_03\03-01-08-01-02-02-03.wav,0.0182
../dataset/raw_audio\Actor_03\03-01-08-02-01-01-03.wav,0.0190
../dataset/raw_audio\Actor_03\03-01-08-02-01-02-03.wav,0.0262
../dataset/raw_audio\Actor_03\03-01-08-02-02-01-03.wav,0.0200
../dataset/raw_audio\Actor_03\03-01-08-02-02-02-03.wav,0.0190
../dataset/raw_audio\Actor_04\03-01-01-01-01-01-04.wav,0.0204
../dataset/raw_audio\Actor_04\03-01-01-01-01-02-04.wav,0.0203
../dataset/raw_audio\Actor_04\03-01-01-01-02-01-04.wav,0.0215
../dataset/raw_audio\Actor_04\03-01-01-01-02-02-04.wav,0.0230
../dataset/raw_audio\Actor_04\03-01-02-01-01-01-04.wav,0.0239
../dataset/raw_audio\Actor_04\03-01-02-01-01-02-04.wav,0.0223
../dataset/raw_audio\Actor_04\03-01-02-01-02-01-04.wav,0.0210
../dataset/raw_audio\Actor_04\03-01-02-01-02-02-04.wav,0.0194
../dataset/raw_audio\Actor_04\03-01-02-02-01-01-04.wav,0.0270
../dataset/raw_audio\Actor_04\03-01-02-02-01-02-04.wav,0.0262
../dataset/raw_audio\Actor_04\03-01-02-02-02-01-04.wav,0.0330
../dataset/raw_audio\Actor_04\03-01-02-02-02-02-04.wav,0.0240
../dataset/raw_audio\Actor_04\03-01-03-01-01-01-04.wav,0.0240
../dataset/raw_audio\Actor_04\03-01-03-01-01-02-04.wav,0.0372
../dataset/raw_audio\Actor_04\03-01-03-01-02-01-04.wav,0.0330
../dataset/raw_audio\Actor_04\03-01-03-01-02-02-04.wav,0.0366
../dataset/raw_audio\Actor_04\03-01-03-02-01-01-04.wav,0.0230
../dataset/raw_audio\Actor_04\03-01-03-02-01-02-04.wav,0.0213
../dataset/raw_audio\Actor_04\03-01-03-02-02-01-04.wav,0.0245
../dataset/raw_audio\Actor_04\03-01-03-02-02-02-04.wav,0.0220
../dataset/raw_audio\Actor_04\03-01-04-01-01-01-04.wav,0.0205
../dataset/raw_audio\Actor_04\03-01-04-01-01-02-04.wav,0.0150
../dataset/raw_audio\Actor_04\03-01-04-01-02-01-04.wav,0.0190
../dataset/raw_audio\Actor_04\03-01-04-01-02-02-04.wav,0.0250
../dataset/raw_audio\Actor_04\03-01-04-02-01-01-04.wav,0.0218
../dataset/raw_audio\Actor_04\03-01-04-02-01-02-04.wav,0.0224
../dataset/raw_audio\Actor_04\03-01-04-02-02-01-04.wav,0.0263
../dataset/raw_audio\Actor_04\03-01-04-02-02-02-04.wav,0.0300
../dataset/raw_audio\Actor_04\03-01-05-01-01-01-04.wav,0.0325
../dataset/raw_audio\Actor_04\03-01-05-01-01-02-04.wav,0.0296
../dataset/raw_audio\Actor_04\03-01-05-01-02-01-04.wav,0.0357
../dataset/raw_audio\Actor_04\03-01-05-01-02-02-04.wav,0.0255
../dataset/raw_audio\Actor_04\03-01-05-02-01-01-04.wav,0.0314
../dataset/raw_audio\Actor_04\03-01-05-02-01-02-04.wav,0.0235
../dataset/raw_audio\Actor_04\03-01-05-02-02-01-04.wav,0.0230
../dataset/raw_audio\Actor_04\03-01-05-02-02-02-04.wav,0.0320
../dataset/raw_audio\Actor_04\03-01-06-01-01-01-04.wav,0.0370
../dataset/raw_audio\Actor_04\03-01-06-01-01-02-04.wav,0.0250
../dataset/raw_audio\Actor_04\03-01-06-01-02-01-04.wav,0.0271
../dataset/raw_audio\Actor_04\03-01-06-01-02-02-04.wav,0.0221
../dataset/raw_audio\Actor_04\03-01-06-02-01-01-04.wav,0.0241
../dataset/raw_audio\Actor_04\03-01-06-02-01-02-04.wav,0.0227
../dataset/raw_audio\Actor_04\03-01-06-02-02-01-04.wav,0.0363
